2021-04-26 07:24:11,,2021-04-26 07:24:00,2021-04-26 07:54:00,1,사고 ,동구릉로 구리IC 한진지혜어린이집 1차로 주의운전 차량고장 -,127.140664,37.618732
2021-04-26 07:25:30,1206,2021-04-26 07:24:02,2021-04-26 07:54:00,1,사고 ,동구릉로 구리IC 한진지혜어린이집 1차로 주의운전 차량고장 -,127.140664,37.618732
2021-04-26 07:26:00,1209,2021-04-26 07:23:02,2021-04-26 18:00:00,0,공사 ,동삭로 세교동주민센터사거리 개나라아파트BS앞 1차로 주의운전 도로공사 -,127.083126899722,36.9997419997222
2021-04-26 07:26:04,,2021-04-26 07:25:00,2021-04-26 07:55:00,1,사고 ,일반국도43호선 골말입구삼거리 여성회관입구교차로 1차로 안전운전, 교차로내 교통사고로 인해 후방 100미터 지체 교통사고 -,127.210732251524,37.9040578427146
2021-04-26 07:26:59,,2021-04-26 07:26:00,2021-04-26 18:00:00,0,공사 ,호국로 토당동8257 대장동입구교차로 1차로 주의운전 도로공사 -,126.820144638889,37.6286811666667
2021-04-26 07:27:50,,2021-04-26 07:26:00,2021-04-26 18:00:00,0,공사 ,일반국도44호선 연봉지구 교차로 개선공사  검율교차로  연봉교차로  진행방향 전체차로 차량 서행 운행 도로공사 반대 차선 확인 요망,127.887863,37.6868412
2021-04-26 07:28:30,,2021-04-26 07:28:00,2021-04-26 18:00:00,0,공사 ,일반국도39호선 대장동입구교차로 철도육교 1차로 주의운전 시설물보수 -,126.814582805556,37.6274299444444
2021-04-26 07:28:45,,2021-04-26 07:28:00,2021-04-26 07:58:00,1,사고 ,서울외곽순환고속도로 남양주IC북측 남양주IC남측 1차로 0km(방향) 주의운전 교통사고 -,127.1544273,37.6001544
2021-04-26 07:29:56,,2021-04-26 07:29:00,2021-04-26 07:59:00,1,사고 ,일반국도7호선 덕곡교차로 화수교차로 1차로 주의운전 교통사고 -,129.3796215,36.4254294
2021-04-26 07:30:19,,2021-04-26 07:30:00,2021-04-26 18:00:00,0,공사 ,을숙도대로 복합화력발전소 GS25부산감천항점 1차로 주의운전 도로공사 -,128.998055899722,35.0881497997222
2021-04-26 07:30:22,,2021-04-26 07:29:00,2021-04-26 18:00:00,0,공사 ,경부고속도로 서부교차로 배시내 1차로 주의운전 도로공사 -,128.1802429,36.154989
2021-04-26 07:30:30,1272,2021-04-26 07:28:02,2021-04-26 07:58:00,1,사고 ,서울외곽순환고속도로 남양주IC북측 남양주IC남측 1차로 0km(방향) 주의운전 교통사고 -,127.1544273,37.6001544
