POI_NM,SCTN_LT,CENTER_MAP_Y_CRDNT,CENTER_MAP_X_CRDNT
쌍암재,2.87,35.011986,127.407966
전구1교+전구2교,3.02,36.881638,128.474127
용봉1교+용봉2교,1.7,36.029285,128.269441
대성1교+김천3터널,0.7,36.115127,128.277328
둔내재,1.8,37.513067,128.246514
진천터널 부근,1.7,36.811149,127.493525
용계2교(제천),1.2,36.981204,127.606517
만덕교 구간,1.44,35.812214,127.249433
못재터널,2.1,35.270886,126.79228
금성교,0.87,35.326219,127.031459
논공교,0.5,35.76772,128.426086
가장교+병성천1교,2,36.370249,128.130974
진부교,0.7,37.645936,128.536518
달래내고개(1),3.73,37.423445,127.076859
서해대교,7.3,36.946758,126.830596
쌍암재,3.9,35.003222,127.481966
예천IC,2.94,36.672542,128.54658
오암1교,1.22,36.643717,128.544966
박달2교,1.3,37.406908,126.885918
싸리재,4.5,37.685679,128.66594
춘천JC~동홍천IC,2.38,37.756871,127.807252
소초 졸음쉼터~새말IC,1.2,37.425944,128.005873
비끼재,4.7,37.200685,128.121506
"차동1,2교",1,36.589823,126.910577
서림1교,0.35,37.97527,128.520537
지문육교,2.43,37.058433,127.13615
대관령구간(1),2.5,37.669509,128.774515
강릉분기점,1.14,37.77577,128.83313
회인대교 양방향,0.94,36.482105,127.614113
청남대교,1.01,36.368998,126.940834
문수산터널,2,35.376001,126.708611
오정교,0.4,35.096362,126.680666
황룡강교,0.6,35.148505,126.760874
서하교(통영),0.71,35.645444,127.703691
면온천교,0.3,37.56291,128.381151
치악재,4.9,37.251611,128.053159
잔교교,0.35,37.997254,128.716836
와촌터널 양방향,1.45,35.95118,128.710972
문흥IC,2.2,35.19111,126.929361
새말IC~둔내IC,2.87,37.44107,128.08595
새말IC~둔내IC,1.4,37.471442,128.153204
섬진대교,0.7,35.169351,127.445344
응원고개,1.2,36.766704,127.197217
당진JCT1교,0.55,36.850397,126.620832
신양1교,0.5,36.618466,128.557278
금토분기점 서울방향,0.8,37.414957,127.086987
장전평1교,1.63,37.660478,127.887295
중원터널,2.16,37.061365,127.725599
낙타고개(1),1.8,37.119434,127.445043
춘향휴게소,1.66,35.320389,127.372597
문경휴게소~다부나들목,6,36.034312,128.524304
내서1터널-내서2터널,1.1,36.421876,128.048834
군위터널,1.2,36.15087,128.544931
산인고개,1.44,35.264035,128.490647
반월터널,2.23,37.326601,126.889265
금성교+중전교,1.3,37.060596,128.19109
연풍교+연풍터널,0.65,36.77624,127.98471
화양리,0.7,36.389344,126.98025
서천휴게소 구간,0.44,36.124661,126.632407
탐진강교,0.38,34.706292,126.902539
대덕터널,2,35.250255,127.050911
도동대교,1.5,35.925244,128.668526
죽산천교,0.4,35.547579,127.82565
마성IC진출입로,3.99,37.288034,127.156603
소래터널 입출구부,0.6,37.458245,126.777717
신영터널,0.9,36.572788,126.955286
번암교,1.2,35.478671,127.537833
대명터널 구간,1,35.995907,126.812211
구완터널 서대전방향,0.5,36.278473,127.425303
진동1교,0.18,37.971362,128.401651
화봉고개,1.3,37.058887,127.474256
복룡육교~구암교,1.09,36.342657,127.320597
회포교 부산방향,0.5,36.241068,127.85446
부곡교 구간,2,35.631816,126.703022
파천2터널+파천3터널,1.5,36.475027,129.067167
현곡터널-적성터널,1.26,36.9735,128.290787
하동 내리막길,1.92,35.010576,127.840767
비룡분기점,0.8,36.345626,127.48123
금산리구간,0.6,35.024239,128.307444
양평대교,0.93,37.504883,127.452547
임곡천교,0.215,37.683798,128.976168
임고4터널,2.49,36.060024,129.140431
신한2교-죽정교,2.49,35.953822,128.79618
옥계오르막구간,2.02,37.630854,129.022187
오수IC,1.45,35.560288,127.323083
슬치터널 구간,0.8,35.693769,127.262694
범서대교,1,35.559329,129.254197
기계 4교,0.6,36.086069,129.174431
추풍령대교 부산방향,1,36.182997,128.011123
경호강2교(하남),0.34,35.414807,127.863804
"진부1,2터널 출구부",0.8,37.64112,128.502412
지정교이후,0.7,37.344783,127.86892
사송리 구간,3.23,35.297686,129.084713
만경강교 구간,0.69,35.896386,127.057706
미호리-망성리구간,3,35.72879,129.19581
백길교,0.358,35.282139,129.155838
대림육교,1.7,35.873849,128.73876
창길2교,0.9,36.402178,128.594252
단촌1터널,0.2,36.425242,128.646932
석교천교,0.151,35.287291,128.332634
두둔리-금곡리구간,0.4,35.092284,128.171367
안성분기점,0.35,37.034811,127.137335
제천주차장,5.22,37.10094,128.15219
단양 하원곡리,1.38,37.043371,128.240072
상주터널 출구 내리막길,3.27,36.33601,128.22207
남해조양교,0.5,34.76092,126.996835
왜관낙동강교 부산방향,1.2,36.06995,128.385126
진교 오르막길,0.45,35.02777,127.86673
북단양,1.45,36.998881,128.293285
문경새재터널-각서교,0.28,36.747149,128.055033
양북2터널 출구부,0.2,35.79722,129.426954
하계교,1,35.28164,128.72082
소래저수지,0.34,37.44644,126.807915
행촌교+연풍터널,0.42,36.76908,127.983795
군위나들목,2.4,36.194628,128.557257
순창IC,0.55,35.363341,127.13582
오천3터널 출구부,0.3,35.87903,129.392857
오곡리구간,0.47,35.284044,128.508142
사리구간,0.1,35.483002,128.512852
토공부,0.6,35.891975,129.02516
낙동강대교,1.44,35.27164,129.01115
본리리구간,0.6,35.789326,128.464921
대포천교,1,35.304159,128.905109
부곡동 구간,0.5,35.216632,128.795657
달래내고개(2),1.54,37.444925,127.057315
둔내재,1.6,37.556889,128.330809
대관령구간(2),5,37.73005,128.78177
대관령구간(3),1.9,37.76578,128.81363
낙타고개(2),1.7,37.155687,127.439514
중원터널,1.46,37.090785,127.718757
공수교 구간,0.8,36.222906,127.277027
신양리 구간,2.44,36.237912,127.275965
백전교,1.01,35.535664,127.645677
신동재,1.4,35.930716,128.478017
연화재,1.2,35.94628,128.46028
창길2교,0.9,36.40175,128.594094
죽령고개 단양구간,3.97,36.914355,128.393415
서안동ic교,0.5,36.587865,128.628854
고성1터널 출구부,0.2,35.073935,128.222186
